route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2026_01_12-DX-MVS-Weekday-001,1842110,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842059,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842111,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842060,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842112,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842061,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842113,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842062,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842114,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842063,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842115,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842064,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842116,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842065,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842117,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842066,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842119,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842067,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842120,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842068,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842121,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842069,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842118,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842070,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842122,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842071,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842123,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842072,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842124,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842073,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842125,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842074,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842126,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842075,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
5,2026_01_12-DX-MVS-Weekday-001,1842127,"OAK Airport / SF / Daly City",1,,005A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842076,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842077,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
